"id","accuracy_meters","altitude","antenna_index","bandwidth","channel_index","coding_rate","dev_id","fcount","fport","frequency","gateway_altitude","gateway_id","gateway_latitude","gateway_longitude","gateway_time","gateway_timestamp","latitude","longitude","rssi","session","snr","spreading_factor","time","uid"
0,4.0092,60.6634,0,125000,3,"4/5",heltec-v2,38,10,867100000,20,dragino-pac,36.8302,-2.40587,1655123440524000000,1233367851,36.8286,-2.40754,-111,"2022-06-13T12:30:05Z",-8,7,1655123420223000000,44
1,5.15327,65.1273,0,125000,7,"4/5",heltec-v2,39,10,867900000,20,dragino-pac,36.8302,-2.40587,1655123500524000000,1293368644,36.8288,-2.40703,-108,"2022-06-13T12:30:05Z",4,7,1655123480232000000,45
2,12.2066,67.9636,0,125000,5,"4/5",heltec-v2,40,10,867500000,20,dragino-pac,36.8302,-2.40587,1655123560525000000,1353369652,36.8291,-2.40624,-93,"2022-06-13T12:30:05Z",6,7,1655123540222000000,46
4,4.143,63.8596,0,125000,5,"4/5",heltec-v2,6,10,867500000,20,dragino-pac,36.8302,-2.40587,1655121520505000000,3608305820,36.8297,-2.40539,-89,"2022-06-13T11:56:21Z",7,7,1655121500199000000,39
5,10.1582,66.3346,0,125000,2,"4/5",heltec-v2,7,10,868500000,20,dragino-pac,36.8302,-2.40587,1655121580506000000,3668306603,36.8292,-2.4054,-91,"2022-06-13T11:56:21Z",7,7,1655121560192000000,40
7,18.0008,72.4608,0,125000,1,"4/5",heltec-v2,13,10,868300000,20,dragino-pac,36.8302,-2.40587,1655121941509000000,4028312491,36.8282,-2.40732,-104,"2022-06-13T11:56:21Z",-2,7,1655121920203000000,42
8,13.4952,72.3617,0,125000,3,"4/5",heltec-v2,14,10,867100000,20,dragino-pac,36.8302,-2.40587,1655122000510000000,4088313371,36.8284,-2.40741,-97,"2022-06-13T11:56:21Z",8,7,1655121980200000000,43
9,11.0672,67.5863,0,125000,2,"4/5",heltec-v2,43,10,868500000,20,dragino-pac,36.8302,-2.40587,1655123740527000000,1533372115,36.8303,-2.40533,-71,"2022-06-13T12:34:52Z",7,7,1655123720230000000,47
10,11.585,55.9846,0,125000,1,"4/5",heltec-v2,44,10,868300000,20,dragino-pac,36.8302,-2.40587,1655123800527000000,1593373091,36.8306,-2.40458,-87,"2022-06-13T12:34:52Z",7,7,1655123780242000000,48
12,10.2697,55.4199,0,125000,4,"4/5",heltec-v2,46,10,867300000,20,dragino-pac,36.8302,-2.40587,1655123920529000000,1713374859,36.8314,-2.40338,-102,"2022-06-13T12:34:52Z",5,7,1655123900244000000,50
13,10.4767,53.7052,0,125000,7,"4/5",heltec-v2,47,10,867900000,20,dragino-pac,36.8302,-2.40587,1655123980528000000,1773375676,36.8317,-2.40275,-116,"2022-06-13T12:34:52Z",-4,7,1655123960229000000,51
14,12.7432,64.3906,0,125000,2,"4/5",heltec-v2,48,10,868500000,20,dragino-pac,36.8302,-2.40587,1655124040528000000,1833376659,36.8319,-2.40206,-104,"2022-06-13T12:34:52Z",-3,7,1655124020244000000,52
15,3.79009,56.9028,0,125000,6,"4/5",heltec-v2,51,10,867700000,20,dragino-pac,36.8302,-2.40587,1655124220530000000,2013379228,36.8317,-2.40177,-88,"2022-06-13T12:34:52Z",8,7,1655124200242000000,53
16,5.38127,58.2798,0,125000,7,"4/5",heltec-v2,52,10,867900000,20,dragino-pac,36.8302,-2.40587,1655124280531000000,2073380196,36.8312,-2.40226,-89,"2022-06-13T12:34:52Z",8,7,1655124260240000000,54
17,10.2588,56.1938,0,125000,1,"4/5",heltec-v2,53,10,868300000,20,dragino-pac,36.8302,-2.40587,1655124340531000000,2133381091,36.8311,-2.40294,-101,"2022-06-13T12:34:52Z",4,7,1655124320253000000,55
18,5.1445,56.703,0,125000,4,"4/5",heltec-v2,54,10,867300000,20,dragino-pac,36.8302,-2.40587,1655124400532000000,2193381955,36.8308,-2.4037,-83,"2022-06-13T12:34:52Z",9,7,1655124380242000000,56
20,24.656,55.3,0,125000,3,"4/5",heltec-v2,56,10,867100000,20,dragino-pac,36.8302,-2.40587,1655124521533000000,2313383707,36.8309,-2.40463,-97,"2022-06-13T12:34:52Z",7,7,1655124500253000000,58
21,23.23,55.3,0,125000,2,"4/5",heltec-v2,57,10,868500000,20,dragino-pac,36.8302,-2.40587,1655124581533000000,2373384603,36.8308,-2.40456,-104,"2022-06-13T12:34:52Z",-4,7,1655124560239000000,59
23,3.79009,51.9877,0,125000,4,"4/5",heltec-v2,1,10,867300000,20,dragino-pac,36.8302,-2.40587,1655130024377000000,3500291019,36.8307,-2.4035,-77,"2022-06-13T14:13:41Z",9,7,1655129982120000000,61
25,3.79009,49.2029,0,125000,1,"4/5",heltec-v2,3,10,868300000,20,dragino-pac,36.8302,-2.40587,1655130144380000000,3620293931,36.8298,-2.40298,-108,"2022-06-13T14:13:41Z",-2,7,1655130102129000000,63
